абиссинцы - населения Эфиопии {населения}
теплообмен - процесс переноса {процесс}
теплоотдача - Отдача тепла {Отдача}
теплопровод - Система труб {Система}
теплопроводность - Свойство тел {Свойство}
теплоснабжение - снабжение потребителей {снабжение}
теплостойкость - Способность тела {Способность}
теплотехника - Отрасль техники {Отрасль}
теплоэнергетика - Отрасль теплотехники {Отрасль}
терминология - Совокупность терминов {Совокупность}
термит - смесь алюминия {смесь}
термиты - Отряд насекомых {Отряд}
термодинамика - Раздел физики {Раздел}
термометрия - Раздел физики {Раздел}
терние - растение препятствия {растение}
территория - пространство земли {пространство}
террор - Политика устрашения {Политика}
терьер - пород собак {пород}
тесина - доска теса {доска}
тесло - орудие род {орудие}
тесситура - положение звуков {положение}
тетерев - птица отряда {птица}
тетерка - Самка тетерева {Самка}
тетка - Сестра отца {Сестра}
техника - Совокупность орудий {Совокупность}
технология - Совокупность операций {Совокупность}
течь - Проникновение воды {Проникновение}
теща - Мать жены {Мать}
тиара - убор папы {убор}
тигренок - Детеныш тигра {Детеныш}
тигрица - Самка тигра {Самка}
тик - подергивание мышц {подергивание}
тимпан - поле фронтона {поле}
тимпан - инструмент (род {инструмент}
типаж - Совокупность признаков {Совокупность}
типометрия - система мер {система}
типун - Болезнь птиц {Болезнь}
тираж - количество экземпляров {количество}
тираж - Розыгрыш выигрышей {Розыгрыш}
тиран - правитель действия {правитель}
тире - Знак препинания {Знак}
тирс - жезл Диониса {жезл}
титестер - Дегустатор чая {Дегустатор}
титул - звание какой {звание}
титулование - Называние кого {Называние}
тифлопедагогика - Раздел дефектологии {Раздел}
тишина - Отсутствие вражды {Отсутствие}
ткачество - Изготовление ткани {Изготовление}
ткемали - дерево рода {дерево}
товар - Продукт труда {Продукт}
товарищество - Группа лиц {Группа}
товарооборот - Обращение товаров {Обращение}
тога - одежда граждан {одежда}
токсемия - Отравление организма {Отравление}
токсикоз - состояние организма {состояние}
токсикология - Раздел медицины {Раздел}
толпа - скопление людей {скопление}
толстовец - Последователь толстовства {Последователь}
тон - Характеристика звука {Характеристика}
тональность - Высота звуков {Высота}
тонзиллит - Воспаление небных {Воспаление}
тонмейстер - Работник радиовещания {Работник}
тонна - Единица массы {Единица}
тонно-километр - Единица грузооборота {Единица}
тонно-миля - Единица грузооборота {Единица}
тоня - Участок водоема {Участок}
топ - конец мачты {конец}
топология - Раздел математики {Раздел}
топорище - Рукоятка топора {Рукоятка}
топчан - кровати койки {кровати}
торба - Мешок сума {Мешок}
торгашество - Занятие торгаша {Занятие}
тореадор - Участник боя {Участник}
торец - срез бревна {срез}
торжище - Место торговли {Место}
торнадо - смерчей (тромбов {смерчей}
торосистость - Наличие торосов {Наличие}
торс - Туловище человека {Туловище}
торфование - Удобрение почвы {Удобрение}
торфоразработки - Место добычи {Место}
торфяник - Залежь торфа {Залежь}
траверс - Переход альпинистов {Переход}
травля - Преследование зверя {Преследование}
травма - Повреждение тканей {Повреждение}
травматология - Раздел медицины {Раздел}
травостой - покров лугов {покров}
траектория - Линия полета {Линия}
трактирщик - Хозяин трактира {Хозяин}
тракторизация - Внедрение тракторов {Внедрение}
тракторист - Водитель трактора {Водитель}
тракторостроение - Отрасль машиностроения {Отрасль}
транжирство - трата денег {трата}
транзит - Перевозка грузов {Перевозка}
транс - Помрачение сознания {Помрачение}
трансгрессия - Наступление моря {Наступление}
транскрипция - передача звуков {передача}
транслитерация - Передача букв {Передача}
трансплантация - Пересадка части {Пересадка}
транспо'рт - Перенос суммы {Перенос}
транспортник - Работник транспорта {Работник}
трансформизм - Система представлений {Система}
трансфузия - Переливание (крови {Переливание}
трахеотомия - вскрытие трахеи {вскрытие}
трахея - горло трубочки {горло}
трахома - заболевание конъюнктивы {заболевание}
треба - обряд принесения {обряд}
тред-юнионист - Сторонник тред-юнионизма {Сторонник}
трение - Движение предмета {Движение}
трепанация - Операция вскрытия {Операция}
треста - стебли конопли {стебли}
трехлетие - Промежуток времени {Промежуток}
трехлеток","трехлетка - Кто что {Кто}
трехполье - система севооборота {система}
трехсменка - Работа предприятия {Работа}
трехсотлетие - Промежуток времени {Промежуток}
триангуляция - Разбивка поверхности {Разбивка}
трибунал - орган судьи {орган}
тригонометрия - Раздел математики {Раздел}
тридцатилетие - Промежуток времени {Промежуток}
трио - произведение (вальса {произведение}
триплет - систем устройств {систем}
трипсин - Фермент сока {Фермент}
тритий - изотоп водорода {изотоп}
триумвир - Участник триумвирата {Участник}
триумф - встреча полководца {встреча}
трихина - червь личинки {червь}
трихинеллез - Заболевание животных {Заболевание}
трихофития - заболевание кожи {заболевание}
тромб - Сгусток крови {Сгусток}
тромбоз - Процесс образования {Процесс}
тромбофлебит - Воспаление стенки {Воспаление}
трон - Место монарха {Место}
тропосфера - слой атмосферы {слой}
тростинка - Стебель тростника {Стебель}
трость - Стебель тростника {Стебель}
троцкист - Последователь троцкизма {Последователь}
трубковерты - сем жуков {сем}
трубоволочение - Производство труб {Производство}
трубочист - Чистильщик труб {Чистильщик}
труд - деятельность человека {деятельность}
трудодень - Единица учета {Единица}
труп - тело человека {тело}
труппа - Коллектив артистов {Коллектив}
трусость - Чувство страха {Чувство}
трясогузка - птица отряда {птица}
тугоухость - потеря слуха {потеря}
тук - Жир сало {Жир}
туловище - Тело человека {Тело}
тулумбас - инструмент род {инструмент}
туляремия - заболевание животных {заболевание}
тумак - Помесь зайца {Помесь}
тумба - столбик (подставки {столбик}
туника - одежда род {одежда}
туннелестроение","тоннелестроение - Сооружение туннелей {Сооружение}
тур - круг чего {круг}
турбостроение - Отрасль машиностроения {Отрасль}
турухтан - птица отряда {птица}
тутоводство - Разведение шелковицы {Разведение}
туше - Манера прикосновения {Манера}
тушканчик - животное отряда {животное}
тщета - Отсутствие смысла {Отсутствие}
тыквина - штука тыквы {штука}
тысячелетие - Промежуток времени {Промежуток}
тычинка - орган размножения {орган}
тэ - буквы «т {буквы}
тюлененок - Детеныш тюленя {Детеныш}
тюленина - Мясо тюленя {Мясо}
тюрбо - рыба отряда {рыба}
тюрьма - Место заключения {Место}
тягло - повинности крестьян {повинности}
убожество - недостаток уродство {недостаток}
убой - Убивание скота {Убивание}
увалень - движениях человек {движениях}
угар - газ самозабвения {газ}
углекислота - двуокиси углерода {двуокиси}
углеобразование - Процесс образования {Процесс}
угодье - Участок земли {Участок}
угомон - Угомон тебя {Угомон}
угорье - Подножие горы {Подножие}
удар - толчок сотрясения {толчок}
ударение - Выделение слова {Выделение}
удовольствие - Чувство радости {Чувство}
удой - Количество молока {Количество}
ужимки - телодвижения гримасы {телодвижения}
ужонок - Детеныш ужа {Детеныш}
узел - единица скорости {единица}
узкоглазие - разрез глаз {разрез}
узколобие - Ограниченность взглядов {Ограниченность}
узурпаторство - Поведение узурпатора {Поведение}
узурпация - захват власти {захват}
укрывательство - скрытие преступника {скрытие}
уложение - Свод законов {Свод}
улыбка - Движение мышц {Движение}
ультиматист - Сторонник ультиматизма {Сторонник}
ультиматум - требование чего {требование}
ум - способность человека {способность}
умозаключение - процесс выведения {процесс}
умолот - Количество зерна {Количество}
умонастроение - Направленность ума {Направленность}
умопомешательство - Потеря рассудка {Потеря}
уморение - Обработка волоса {Обработка}
умыкание - заключения брака {заключения}
универсам - магазин самообслуживания {магазин}
уникум - экземпляр чего {экземпляр}
униформист - Работник цирка {Работник}
унтер-офицерша - Жена унтер-офицера {Жена}
унция - Мера веса {Мера}
уныние - состояние духа {состояние}
упад - упаду (упада {упаду}
упадочник - Выразитель эпохи {Выразитель}
упадочничество - взгляды настроения {взгляды}
упитанность - Состояние организма {Состояние}
упоение - Состояние восторга {Состояние}
упокой - упокой раба {упокой}
уполномочие - уполномочию кого {уполномочию}
упряжь - Совокупность приспособлений {Совокупность}
урбанизация - Процесс повышения {Процесс}
урбанист - Последователь урбанизма {Последователь}
урду - язык Индии {язык}
уремия - отравление организма {отравление}
уретрит - Воспаление уретры {Воспаление}
уретроскопия - Метод исследования {Метод}
уродство - недостаток организма {недостаток}
урология - Раздел медицины {Раздел}
усадка - Уменьшение тела {Уменьшение}
усадьба - Совокупность строений {Совокупность}
услужник - Слуга служитель {Слуга}
успеваемость - Степень успешности {Степень}
уста - Рот губы {Рот}
устав - Свод правил {Свод}
устье - Место впадения {Место}
усыпальница - Место погребения {Место}
утварь - Совокупность предметов {Совокупность}
утенок - Птенец утки {Птенец}
утилитарист - Последователь утилитаризма {Последователь}
утиль - Отходы вещи {Отходы}
уток - нити ткани {нити}
утомление - Ослабление сил {Ослабление}
утопизм - Построение планов {Построение}
утопист - Автор какой {Автор}
утруска - Уменьшение веса {Уменьшение}
утятина - Мясо утки {Мясо}
ухарь - поступки человек {поступки}
ухватка - Характер телодвижений {Характер}
ухо - Орган слуха {Орган}
участие - деятельность долей {деятельность}
участь - Положение кого {Положение}
учительша - Учительница учителя {Учительница}
фабула - схема событий {схема}
фавн - бог полей {бог}
фаворит - Любимец какого {Любимец}
фагоциты - клетки животных {клетки}
фаза - стадия чего {стадия}
фазан - птица отряда {птица}
фазанка - Самка фазана {Самка}
фазановые - птиц отряда {птиц}
факсимиле - воспроизведение рукописи {воспроизведение}
фактография - Описание фактов {Описание}
фаланга - порядок пехоты {порядок}
фальсификация - Подделывание чего {Подделывание}
фальшборт - ограждение палубы {ограждение}
фамилия - наименование человека {наименование}
фанатизм - Образ мыслей {Образ}
фанера - листы древесины {листы}
фантасмагория - картины фигуры {картины}
фантик - обертка конфеты {обертка}
фанфара - инструмент род {инструмент}
фанфаронство - Поведение фанфарона {Поведение}
фарингоскопия - метод осмотра {метод}
фарисейство - Учение фарисеев {Учение}
фармакогнозия - Раздел фармации {Раздел}
фас - лица предмета {лица}
фашина - Пучок хвороста {Пучок}
фашист - Приверженец фашизма {Приверженец}
федералист - Сторонник федерализма {Сторонник}
фейерверкер - унтер-офицер артиллерии {унтер-офицер}
фельдмаршальство - Звание фельдмаршала {Звание}
фемида - Служители Фемиды# {Служители}
феминист - Сторонник феминизма {Сторонник}
феноменология - философии Гегеля {философии}
феодализация - Формирование феодализма {Формирование}
ферма - конструкция покрытия {конструкция}
ферма - хозяйство совхоза {хозяйство}
ферментация - процесс переработки {процесс}
фермерство - система хозяйства {система}
феррит - раствор углерода {раствор}
ферросплав - Сплав железа {Сплав}
ферт - буквы «ф {буквы}
фетишист - Последователь фетишизма {Последователь}
фехтование - Система приемов {Система}
фибриноген - белок плазмы {белок}
фигли-мигли - Проделки шутки {Проделки}
фидеист - Сторонник фидеизма {Сторонник}
фидер - Линия передачи {Линия}
физиогномика","физиономика - Искусство определения {Искусство}
физиотерапия - Раздел медицины {Раздел}
филин - птица отряда {птица}
филистерство - Поведение филистера {Поведение}
филлер - монета Венгрии {монета}
филофония - Коллекционирование звукозаписей {Коллекционирование}
филумения - Коллекционирование этикеток {Коллекционирование}
фильмокопия - Позитив кинофильма {Позитив}
фирман - указ султана {указ}
фирн - снег границы {снег}
фискальство - Поведение фискала {Поведение}
фитин - соединение фосфора {соединение}
фланг - сторона доски {сторона}
флаттер - Вибрация крыла {Вибрация}
флебит - Воспаление вены {Воспаление}
флексура - изгиб слоев {изгиб}
флористика - Раздел ботаники {Раздел}
флот - Совокупность судов {Совокупность}
флотатор - руды минерала {руды}
флотация - Метод обогащения {Метод}
флюоресценция - Свечение вещества {Свечение}
флюс - воспаление десны {воспаление}
фобия - состояние страха {состояние}
фокстерьер - Порода домашних {Порода}
фольклорность - Наличие элементов {Наличие}
фон - Шум помехи {Шум}
фонастения - Расстройство голоса {Расстройство}
фонема - Звук речи {Звук}
фонетика - строй языка {строй}
фонограмма - Запись звуков {Запись}
фонология - Раздел языкознания {Раздел}
фонтан - Струя воды {Струя}
форвард - Игрок нападения {Игрок}
форзац - лист бумаги {лист}
форинт - единица Венгрии {единица}
форманта - характеристика звука {характеристика}
формат - Размер книги {Размер}
формация - строение чего {строение}
формоизменение - Изменение формы {Изменение}
формула - определение чего {определение}
формуляр - список чиновников {список}
форштевень - оконечность судна {оконечность}
фот - Единица освещенности {Единица}
фотовспышка - освещение какого {освещение}
фотогравюра - Репродукция картины {Репродукция}
фотография - Способ получения {Способ}
фотокерамика - Получение изображений {Получение}
фотокопия - Копия какого {Копия}
фотолиз - Распад молекул {Распад}
фотомеханика - Совокупность процессов {Совокупность}
фотон - Частица света {Частица}
фотосфера - слой атмосферы {слой}
фотохроника - Хроника событий {Хроника}
фотоцинкография - способ изготовления {способ}
фрагмент - Отрывок сочинения {Отрывок}
фразеологизм - сочетание слов {сочетание}
фразеология - Совокупность приемов {Совокупность}
фракционер - Член какой {Член}
фракция - группа людей {группа}
франк - единица Франции {единица}
фратрия - Подразделение племени {Подразделение}
фриз - ткань типа {ткань}
фрондер - Участник фронды {Участник}
фронт - Строй войск {Строй}
фронтиспис - фасад здания {фасад}
фтизиатрия - Раздел медицины {Раздел}
фунт - мера веса {мера}
фургонщик - Возница фургона {Возница}
фурия - богинь мщения {богинь}
фурштат - Военный обоз {Военный}
фурьерист - Последователь фурьеризма {Последователь}
фут - Мера длины {Мера}
футурист - Последователь футуризма {Последователь}
фухтель - сторона клинка {сторона}
ха - буквы «х {буквы}
хаз - полоса куска {полоса}
хайло - отверстие печи {отверстие}
хамелеон - Животное отряда {Животное}
ханжество - набожность добродетельность {набожность}
харчевник - Содержатель харчевни {Содержатель}
хворост - ветви деревьев {ветви}
хер - буквы «х {буквы}
химизм - природа какого {природа}
химиотерапия - Лечение болезней {Лечение}
хинди - язык Индии {язык}
хиротония - посвящение лиц {посвящение}
хирургия - Раздел медицины {Раздел}
хитреца - доле хитрости {доле}
хитринка - доле хитрости {доле}
хитросплетение - переплетение каких {переплетение}
хладноломкость - Возрастание хрупкости {Возрастание}
хлебозакупки - Закупка хлеба {Закупка}
хлебопашество - Возделывание земли {Возделывание}
хлебопечение - Выпечка хлеба {Выпечка}
хлебопоставки - сдача хлеба {сдача}
хлебопродукты - Продукты обмолота {Продукты}
хлебосдача - Сдача хлеба {Сдача}
хлебоуборка - Уборка хлебов {Уборка}
хлопец - Подросток мальчик {Подросток}
хлопкоочистка - обработка хлопка {обработка}
хлопкопрядение - Процесс изготовления {Процесс}
хлопкосеяние - Разведение хлопчатника {Разведение}
хлопкоуборка - Уборка хлопка {Уборка}
хлопоты - Дела занятия {Дела}
хлориды - соединения хлора {соединения}
хлороз - Болезнь растений {Болезнь}
хлорофилл - пигмент растений {пигмент}
хлуп","хлупь - Кончик крестца {Кончик}
хлыстовство - Учение хлыстов {Учение}
хлыщ - человек фат {человек}
хлюст - подбор карт {подбор}
хлябь - глубина моря {глубина}
хлястик - полоса ткани {полоса}
хмельник - Заросли хмеля {Заросли}
хна - краска волос {краска}
хозяйство - Способ производства {Способ}
холера - заболевание человека {заболевание}
холод - температура воздуха {температура}
холодность - Отсутствие пылкости {Отсутствие}
холопство - Состояние холопа {Состояние}
холстинка - кусок холста {кусок}
холуй - слуги лакея {слуги}
хорда - Отрезок прямой {Отрезок}
хореография - Искусство композиции {Искусство}
хормейстер - Руководитель хора {Руководитель}
хоругвь - знамя войска {знамя}
хорьчонок - Детеныш хорька {Детеныш}
хохма - шутка что {шутка}
хохол - клок волос {клок}
храпак - храпака (шутл {храпака}
храповицкий - храповицкого (шутл {храповицкого}
хребет - Позвоночник человека {Позвоночник}
хрип - нечистого тона {нечистого}
хрипота - Наличие хрипа {Наличие}
христианин - Последователь христианства {Последователь}
христианство - религий мира {религий}
хромель - Сплав никеля {Сплав}
хромолитография - способ печатания {способ}
хромосомы - элементы ядра {элементы}
хромота - Неправильность походки {Неправильность}
хроника - Запись событий {Запись}
хроникер - Сотрудник газеты {Сотрудник}
хронология - Последовательность каких {Последовательность}
хронометраж - Метод изучения {Метод}
хрусталик - кусочек хрусталя {кусочек}
хрыч - человека старика {человека}
хрюканье - Крик свиньи {Крик}
хряк - Самец свиньи {Самец}
хрящ - ткань организма {ткань}
худо'ба - имущество (вещи {имущество}
хулиганство - Нарушение правил {Нарушение}
хунта - объединений союзов {объединений}
хурал - Наименование органов {Наименование}
хурма - дерево кустарника {дерево}
хуторянин - Владелец хутора {Владелец}
царевич - Сын царя {Сын}
царевна - Дочь царя {Дочь}
царение - Правление какого {Правление}
цареубийство - Убийство царя {Убийство}
цареубийца - Убийца царя {Убийца}
царь - Титул монарха {Титул}
цвет - Свойство тела {Свойство}
цветочница - Продавщица цветов {Продавщица}
цедра - слой кожуры {слой}
целеуказание - Указание места {Указание}
целость - состояние чего {состояние}
цементация - Закрепление грунтов {Закрепление}
цена - Стоимость какого {Стоимость}
ценз - перепись граждан {перепись}
цензорство - Должность обязанности {Должность}
цензура - должность цензора {должность}
ценник - Справочник цен {Справочник}
ценообразование - Процесс формирования {Процесс}
центнер - Единица веса {Единица}
центр - Точка пересечения {Точка}
централизм - Система управления {Система}
центрист - Сторонник центризма {Сторонник}
центурион - Начальник центурии {Начальник}
цепочка - цепь (см {цепь}
цепь - Ряд гор {Ряд}
церемониймейстер - придворных чинов {придворных}
церемония - порядок совершения {порядок}
церковница - Жена церковника {Жена}
церковь - организация духовенства {организация}
цесаревич - наименование наследника {наименование}
цесаревна - Жена цесаревича {Жена}
цесарка - Птица отряда {Птица}
цех - организация ремесленников {организация}
цианирование - Способ извлечения {Способ}
цианоз - цвет кожи {цвет}
цикл - Совокупность каких {Совокупность}
циклография - Метод изучения {Метод}
цинизм - Учение циников {Учение}
цинкография - Способ изготовления {Способ}
циркач - Артист цирка {Артист}
цитохимия - Раздел цитологии {Раздел}
цоканье - Особенность произношения {Особенность}
цыпленок - Птенец курицы {Птенец}
цэ - буквы «ц {буквы}
чабарня - Жилище чабана {Жилище}
чадра - покрывало женщин {покрывало}
чаепитие - Питье чая {Питье}
чаинка - кусочек листка {кусочек}
чайханщик - Содержатель чайханы {Содержатель}
чалма - кусок материи {кусок}
чапыги - Ручки плуга {Ручки}
чартизм - движение рабочих {движение}
час - Единица измерения {Единица}
частное - Результат деления {Результат}
частокол - Забор изгородь {Забор}
частотность - Показатель частоты {Показатель}
часть - Доля целого {Доля}
чахотка - истощения организма {истощения}
че - буквы «ч {буквы}
чебак - рыб плотвы {рыб}
челка - Прядь гривы {Прядь}
человеко-день - Единица учета {Единица}
человеко-час - Единица учета {Единица}
человекоубийство - Убийство человека {Убийство}
человекоубийца - Убийца человека {Убийца}
человечина - Мясо человека {Мясо}
чембур - повод уздечки {повод}
чемодан - коробки ящика {коробки}
чемпионство - Звание чемпиона {Звание}
червь - буквы «ч {буквы}
черед - порядок очередности {порядок}
череззерница - завязывание семян {завязывание}
черемушник - Заросли черемухи {Заросли}
черенок - Рукоятка какого {Рукоятка}
череп - Скелет головы {Скелет}
чернила - раствор какого {раствор}
черничество - Образ жизни {Образ}
черничина - ягода черники {ягода}
черничник - Заросли черники {Заросли}
чернокнижие - Знание приемов {Знание}
черносливина - ягода чернослива {ягода}
четверик - мера объема {мера}
четвертак - Четверть рубля {Четверть}
четырехлетие - Промежуток времени {Промежуток}
четырехсотлетие - Промежуток времени {Промежуток}
чечет - Самец чечетки {Самец}
чешуекрылые - насекомых бабочки {насекомых}
чинар","чинара - Дерево рода {Дерево}
чиновница - Жена чиновника {Жена}
чиновничество - Чиновники (см {Чиновники}
чиноначалие - Иерархия чинов {Иерархия}
чиренок - Птенец чирка {Птенец}
чирики - Башмаки туфли {Башмаки}
чичисбей - спутник женщины {спутник}
членик - Отдел тела {Отдел}
членовредительство - повреждение какого {повреждение}
чревосечение - операция вскрытия {операция}
чресла - Поясница бедра {Поясница}
чуб - Прядь волос {Прядь}
чувствилище - чувства впечатления {чувства}
чугун - Сплав железа {Сплав}
чудо - явление чего {явление}
чурбан - Обрубок дерева {Обрубок}
чутье - Способность человека {Способность}
чуфыканье - звуки «чуф {звуки}
ша - буквы «ш {буквы}
шаг - движение чего {движение}
шайка - Группа людей {Группа}
шаланда - судно типа {судно}
шаман - Служитель культа {Служитель}
шампанизация - Насыщение вина {Насыщение}
шарж - манера изображения {манера}
шаромыжничество - Образ действий {Образ}
шатун - Деталь машины {Деталь}
шах - нападение какой {нападение}
шах - Титул монарха {Титул}
швейцарцы - Население Швейцарии {Население}
шейх - Титул правителей {Титул}
шелкоткачество - Выработка тканей {Выработка}
шериф - звание мусульманина {звание}
шерпы - Народность Гималаев {Народность}
шерстинка - Волосок шерсти {Волосок}
шерстопрядение - Прядение шерсти {Прядение}
шерстоткачество - Выработка ткани {Выработка}
шерсть - покров млекопитающих {покров}
шестерик - мера (счета {мера}
шестидесятилетие - Промежуток времени {Промежуток}
шестидневка - Промежуток времени {Промежуток}
шестилетие - Промежуток времени {Промежуток}
шестипалость - порок развития {порок}
шестисотлетие - Промежуток времени {Промежуток}
шивера - участок русла {участок}
шинкарство - Содержание шинка {Содержание}
ширина - Протяжение чего {Протяжение}
ширинка - полотнище ткани {полотнище}
шихта - Смесь материалов {Смесь}
шиш - верхушка чего {верхушка}
шкалик - мера объема {мера}
шкварки - кусочки сала {кусочки}
шкирка - шкирку меня {шкирку}
школьник - Ученик школы {Ученик}
шкура - покров тела {покров}
шлемофон - Шлем летчиков {Шлем}
шлиф - пластинка минерала {пластинка}
шлих - Остаток частиц {Остаток}
шлык - убор русских {убор}
шляхта - ряде стран {ряде}
шмуцтитул - Лист бумаги {Лист}
шов - Место соединения {Место}
шовинист - Приверженец шовинизма {Приверженец}
шок - жизни человека {жизни}
шоколадка - плитка шоколада {плитка}
шофер - Водитель автомобиля {Водитель}
шпаргалка - Листок бумаги {Листок}
шпатель - Инструмент живописца {Инструмент}
шпионство - Деятельность шпиона {Деятельность}
шпицрутены - прутья палки {прутья}
шпроты - рыба (салаки {рыба}
штаб - Орган управления {Орган}
штаб-квартира - Место расположения {Место}
штабель - ряд чего {ряд}
штамм - культура микроорганизмов {культура}
штамповка - Изготовление изделия {Изготовление}
штат - состав лиц {состав}
штатгальтер - правителей областей {правителей}
штерт - отрезок линя {отрезок}
штоф - мера объема {мера}
штрейкбрехерство - Участие штрейкбрехеров {Участие}
штука - предмет какое {предмет}
штурм - атака крепости {атака}
штуф - Кусок породы {Кусок}
шумовик - Работник театра {Работник}
шурин - Брат жены {Брат}
шуры-муры - дела похождения {дела}
шутовство - Занятие шута {Занятие}
ща - буквы «щ {буквы}
щегленок - Птенец щегла {Птенец}
щегловка - Самка щегла {Самка}
щелкопер - писателя журналиста {писателя}
щелочность - Степень насыщения {Степень}
щелчок - удар выстрела {удар}
щенок - Детеныш собаки {Детеныш}
щепка - пластинка дерева {пластинка}
щиколотка - бокам ноги {бокам}
щуп - инструментов служащих {инструментов}
щупальца - выросты тела {выросты}
щур - предок родоначальник {предок}
щуренок - Детеныш щуки {Детеныш}
эволюция - Процесс изменения {Процесс}
эвристика - Совокупность приемов {Совокупность}
эдикт - программа деятельности {программа}
эжекция - Процесс смещения {Процесс}
эквадорцы - Население Эквадора {Население}
экзарх - Глава жрецов {Глава}
экзема - заболевание кожи {заболевание}
экзотика - особенности (природы {особенности}
экивоки - Намеки недоговоренности {Намеки}
экономизация - Осуществление экономии {Осуществление}
экосез - танец типа {танец}
экранизация - Создание фильма {Создание}
экспансионизм - политика экспансии {политика}
экспансионист - Сторонник экспансионизма {Сторонник}
экспансия - Расширение сферы {Расширение}
эксперимент - Воспроизведение какого {Воспроизведение}
экспериментаторство - Проведение экспериментов {Проведение}
эксплуатация - Присвоение результатов {Присвоение}
экспозе - изложение какого {изложение}
экспорт - Вывоз товаров {Вывоз}
экспрессионист - Последователь экспрессионизма {Последователь}
экстаз - степень воодушевления {степень}
экстернат - порядок сдачи {порядок}
экстерьер - телосложение животных {телосложение}
экстрагирование - Разделение смеси {Разделение}
экстраполяция - Распространение выводов {Распространение}
